frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
0,0.379677,0.206178,0.150253,0.000591,0.736699,0.000000,0.736699,116562,0,254,5
1,0.004601,0.002846,0.023665,0.000154,0.031265,0.000000,0.031265,36748,2,248,10
2,0.003184,0.001382,0.026921,0.000546,0.032032,0.000000,0.032032,200042,2,248,10
3,0.003272,0.001493,0.026915,0.001217,0.032897,0.000000,0.032897,322435,2,248,10
4,0.004414,0.001766,0.024774,0.001234,0.032189,0.000000,0.032189,393746,2,248,10
5,0.004538,0.001515,0.022097,0.001618,0.029768,0.000000,0.029768,441829,2,248,10
6,0.002743,0.002668,0.024119,0.001554,0.031085,0.000000,0.031085,467070,2,248,10
7,0.003394,0.001731,0.026053,0.001672,0.032849,0.000000,0.032849,377472,2,248,10
8,0.002855,0.002087,0.026909,0.001530,0.033381,0.000000,0.033381,573520,2,248,10
9,0.002850,0.001974,0.026921,0.001371,0.033115,0.000000,0.033115,385796,2,248,10
10,0.004194,0.003103,0.024822,0.003147,0.035266,0.000000,0.035266,806197,2,248,10
11,0.003050,0.001684,0.022610,0.004252,0.031597,0.000000,0.031597,898471,2,248,10
12,0.002875,0.003264,0.025078,0.003681,0.034898,0.000000,0.034898,1032649,2,248,10
13,0.003274,0.001444,0.026649,0.004773,0.036140,0.000000,0.036140,1158837,2,248,10
14,0.003433,0.001747,0.025913,0.004215,0.035308,0.000000,0.035308,1230874,2,248,10
15,0.004588,0.001726,0.024760,0.006013,0.037088,0.000000,0.037088,1289502,2,248,10
16,0.007379,0.001888,0.022768,0.004915,0.036949,0.000000,0.036949,1398745,2,248,10
17,0.002935,0.001711,0.021681,0.005876,0.032203,0.000000,0.032203,1470119,2,248,10
18,0.003071,0.003463,0.026136,0.005593,0.038263,0.000000,0.038263,2057887,2,248,10
19,0.003219,0.001641,0.026798,0.018840,0.050498,0.000000,0.050498,2113324,2,248,10
20,0.003178,0.001752,0.026801,0.019338,0.051069,0.000000,0.051069,2114511,2,248,10
21,0.003261,0.001517,0.026773,0.007001,0.038552,0.000000,0.038552,2108960,2,248,10
22,0.004886,0.001431,0.026149,0.020940,0.053407,0.000000,0.053407,2228540,2,248,10
23,0.008931,0.002244,0.022590,0.008556,0.042322,0.000000,0.042322,2262319,2,248,10
24,0.003303,0.003413,0.020403,0.021973,0.049093,0.000000,0.049093,2208746,2,248,10
25,0.002594,0.002337,0.025800,0.006192,0.036923,0.000000,0.036923,2149337,2,248,10
